Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
southbankmosaics.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
uni-mainz.de,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
voicefmradio.co.uk,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
sfnmjournal.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
rewildingargentina.org,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
globalreporting.org,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
saffronart.com,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
nerdscandy.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
hyderabadonline.in,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
aap.org,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
religionenlibertad.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
teramill.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
socialpolicy.org,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
aoh61.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
bulgariaski.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
brightika.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
motley.ie,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
funzine.hu,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
dixxon.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
ooty.ind.in,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
f0519141.xsph.ru,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
shprakserf.gq,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
cryptocompare.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
diariodealmeria.es,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
town.minamichita.lg.jp,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
bwresearch.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
musicvideoproduction.guru,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
service-mitld.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0
kuradox92.lima-city.de,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
liuy-9a930.web.app,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
landed.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
ipfs.io,0,1,1,2,0,0,0,0,0,0,1,0,0,1,0,0
att-103731-107123.weeblysite.com,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
bikeseoul.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
hidok4f8zl.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
ibeani.co.uk,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
metroretrovintage.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
ooguy.com,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
vysor.io,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
fairytalesinc.com,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
iuhjn.pplink.club,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
mechinchem-5cb8a.web.app,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
salutlive.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
recettessimples.fr,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
fb-restriction-case-97be5.web.app,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
pontosapontamentolu.com,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,0
ainewsletter.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
marrugeku.com.au,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
sweatdrop.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
komaru.today,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
dev-634536.pantheonsite.io,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
senacases.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
sabadonoappmagazine.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
vespatales.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
nextraload.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
klerk.ru,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
karenmillen.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
topaka.cloud,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,0
mlpack.org,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
metafb-tvz6efk.web.app,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
hesselawchambers.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
schmitzfotografia.com.br,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
lanereport.com,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
spg.pt,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
coraevans.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
torahmates.org,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
larepublica.co,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
pimpim.lt,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
httpzen.fairhash.org,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
cjplogger.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
radware.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
erlegen.de,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
f0535398.xsph.ru,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
ggsexpole.web.app,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
classfmonline.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
cornerstoneinsurance.ca,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
varzesh3.com,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
s3.amazonaws.com,0,0,1,3,0,0,0,0,0,1,1,0,0,1,0,0
medicalplasticsnews.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
gitguardian.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
ormvoixregl1.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
crowncenter.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
nmve.xyz,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
maytheday.oss-ap-southeast-2.aliyuncs.com,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
dancetheyard.org,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
olly.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
naturalearthdata.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
att-104164.weeblysite.com,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
frdc.com.au,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
lukul.sk,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
cityparkapp.pl,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
tkmowpikuk.owl4fsrch.club,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0
a04854e8-0cca-4b74-80e6-aacb14a4a5f7.id.repl.co,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
scandlines.dk,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
hskonline.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
nutritioncare.org,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
tileandstonejournal.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
c.line-design.fr,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
capeblancoheritagesociety.com,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
caterinaperez.com,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
mail-service-100960.weeblysite.com,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
aqr.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
a0646498.xsph.ru,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
helpadcase1002405739503874569.web.app,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
poundingtherock.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
kellerberrin.wa.gov.au,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
stadtgarten.de,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
